Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000159339	PADI4	"PAD, PADI5, PDI4, PDI5"	"Peptidyl arginine deiminase 4"	Q9UM07	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000276747	PADI6		"Peptidyl arginine deiminase 6"	Q6TGC4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000077264	PAK3	"bPAK, hPAK3, MRX30, MRX47"	"P21 (RAC1) activated kinase 3"	O75914	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000125779	PANK2	"C20orf48, FLJ11729, HARP, HSS, NBIA1, PKAN"	"Pantothenate kinase 2"	Q9BZ23	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000198682	PAPSS2	ATPSK2	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"	O95340	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116288	PARK7	"DJ-1, DJ1, GATD2"	"Parkinsonism associated deglycase"	Q99497	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000140694	PARN	DAN	"Poly(A)-specific ribonuclease"	O95453	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000138496	PARP9	"BAL, BAL1"	"Poly(ADP-ribose) polymerase family member 9"	Q8IXQ6	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000173599	PC	PCB	"Pyruvate carboxylase"	P11498	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000166228	PCBD1	"DCOH, PCBD, PCD"	"Pterin-4 alpha-carbinolamine dehydratase 1"	P61457	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000175198	PCCA		"Propionyl-CoA carboxylase alpha subunit"	P05165	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000114054	PCCB		"Propionyl-CoA carboxylase beta subunit"	P05166	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000124253	PCK1	PEPCK-C	"Phosphoenolpyruvate carboxykinase 1"	P35558	"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100889	PCK2	"PEPCK, PEPCK2"	"Phosphoenolpyruvate carboxykinase 2, mitochondrial"	Q16822	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000175426	PCSK1	"NEC1, PC1, PC3, SPC3"	"Proprotein convertase subtilisin/kexin type 1"	P29120	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000161217	PCYT1A	"CT, CTPCT, PCYT1"	"Phosphate cytidylyltransferase 1, choline, alpha"	P49585	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185527	PDE6G	"PDEG, RP57"	"Phosphodiesterase 6G"	P18545	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000139053	PDE6H		"Phosphodiesterase 6H"	Q13956	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000131828	PDHA1	PDHA	"Pyruvate dehydrogenase E1 alpha 1 subunit"	P08559	"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000168291	PDHB	PDHE1B	"Pyruvate dehydrogenase E1 beta subunit"	P11177	"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000067992	PDK3		"Pyruvate dehydrogenase kinase 3"	Q15120	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164951	PDP1	"PDH, PDP, PPM2A, PPM2C"	"Pyruvate dehyrogenase phosphatase catalytic subunit 1"	Q9P0J1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000148459	PDSS1	"COQ1, TPRT, TPT"	"Decaprenyl diphosphate synthase subunit 1"	Q5T2R2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164494	PDSS2	"bA59I9.3, C6orf210"	"Decaprenyl diphosphate synthase subunit 2"	Q86YH6	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000101327	PDYN	"ADCA, PENKB, SCA23"	Prodynorphin	P01213	"Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000124299	PEPD		"Peptidase D"	P12955	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000127980	PEX1	"ZWS, ZWS1"	"Peroxisomal biogenesis factor 1"	O43933	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000157911	PEX10	RNF69	"Peroxisomal biogenesis factor 10"	O60683	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000108733	PEX12		"Peroxisomal biogenesis factor 12"	O00623	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000162928	PEX13		"Peroxisomal biogenesis factor 13"	Q92968	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000142655	PEX14		"Peroxisomal biogenesis factor 14"	O75381	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000121680	PEX16		"Peroxisomal biogenesis factor 16"	Q9Y5Y5	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000162735	PEX19	"D1S2223E, HK33, PMP1, PMPI, PXF, PXMP1"	"Peroxisomal biogenesis factor 19"	P40855	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000164751	PEX2	"PAF-1, PMP35, PXMP3, RNF72, ZWS3"	"Peroxisomal biogenesis factor 2"	P28328	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000215193	PEX26	FLJ20695	"Peroxisomal biogenesis factor 26"	Q7Z412	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000034693	PEX3		"Peroxisomal biogenesis factor 3"	P56589	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000124587	PEX6	"PAF-2, PXAAA1"	"Peroxisomal biogenesis factor 6"	Q13608	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000112357	PEX7	"PTS2R, RD"	"Peroxisomal biogenesis factor 7"	O00628	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000152556	PFKM	"PFK-1, PFKX, PPP1R122"	"Phosphofructokinase, muscle"	P08237	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164708	PGAM2	PGAM-M	"Phosphoglycerate mutase 2"	P15259	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000148985	PGAP2	"CWH43-N, FRAG1, MRT21"	"Post-GPI attachment to proteins 2"	Q9UHJ9	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000102144	PGK1		"Phosphoglycerate kinase 1"	P00558	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000079739	PGM1		"Phosphoglucomutase 1"	P36871	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000013375	PGM3	"AGM1, DKFZP434B187, PAGM"	"Phosphoglucomutase 3"	O95394	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000102174	PHEX	"HPDR, HPDR1, HYP, HYP1, PEX, XLH"	"Phosphate regulating endopeptidase homolog X-linked"	P78562	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000172943	PHF8	"JHDM1F, KDM7B, KIAA1111, ZNF422"	"PHD finger protein 8"	Q9UPP1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000092621	PHGDH	"PDG, PGDH, SERA"	"Phosphoglycerate dehydrogenase"	O43175	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000156873	PHKG2		"Phosphorylase kinase catalytic subunit gamma 2"	P15735	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000107537	PHYH	"PAHX, PHYH1, RD"	"Phytanoyl-CoA 2-hydroxylase"	O14832	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000175309	PHYKPL	"AGXT2L2, MGC15875"	"5-phosphohydroxy-L-lysine phospho-lyase"	Q8IUZ5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000241973	PI4KA	"PI4K-ALPHA, pi4K230, PIK4CA"	"Phosphatidylinositol 4-kinase alpha"	P42356	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000103335	PIEZO1	"FAM38A, KIAA0233"	"Piezo type mechanosensitive ion channel component 1"	Q92508	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000154864	PIEZO2	"C18orf30, C18orf58, FAM38B, FAM38B2, FLJ23144, FLJ23403, FLJ34907, HsT748, HsT771"	"Piezo type mechanosensitive ion channel component 2"	Q9H5I5	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000165195	PIGA	GPI3	"Phosphatidylinositol glycan anchor biosynthesis class A"	P37287	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000108474	PIGL		"Phosphatidylinositol glycan anchor biosynthesis class L"	Q9Y2B2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185808	PIGP	"DCRC, DSCR5, DSRC"	"Phosphatidylinositol glycan anchor biosynthesis class P"	P57054	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000115020	PIKFYVE	"FAB1, KIAA0981, MGC40423, p235, PIKfyve, PIP5K, PIP5K3, ZFYVE29"	"Phosphoinositide kinase, FYVE-type zinc finger containing"	Q9Y2I7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000158828	PINK1	PARK6	"PTEN induced putative kinase 1"	Q9BXM7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000186111	PIP5K1C	"KIAA0589, LCCS3, PIP5Kgamma"	"Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma"	O60331	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000204311	PJVK	DFNB59	Pejvakin	Q0ZLH3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000008710	PKD1	"PBP, Pc-1, TRPP1"	"Polycystin 1, transient receptor potential channel interacting"	P98161	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000158683	PKD1L1	PRO19563	"Polycystin 1 like 1, transient receptor potential channel interacting"	Q8TDX9	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000118762	PKD2	"Pc-2, PC2, PKD4, TRPP2"	"Polycystin 2, transient receptor potential cation channel"	Q13563	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000143627	PKLR		"Pyruvate kinase L/R"	P30613	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000127472	PLA2G5		"Phospholipase A2 group V"	P39877	"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins, RAS pathway related proteins"
ENSG00000146070	PLA2G7	"LDL-PLA2, PAFAH"	"Phospholipase A2 group VII"	Q13093	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
ENSG00000182621	PLCB1	"KIAA0581, PLC-I, PLC154"	"Phospholipase C beta 1"	Q9NQ66	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000101333	PLCB4		"Phospholipase C beta 4"	Q15147	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000187091	PLCD1		"Phospholipase C delta 1"	P51178	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000138193	PLCE1	"KIAA1516, NPHS3, PLCE"	"Phospholipase C epsilon 1"	Q9P212	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000197943	PLCG2		"Phospholipase C gamma 2"	P16885	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000139151	PLCZ1	"NYD-SP27, PLCzeta"	"Phospholipase C zeta 1"	Q86YW0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000075651	PLD1		"Phospholipase D1"	Q13393	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000105223	PLD3	HU-K4	"Phospholipase D family member 3"	Q8IV08	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000166851	PLK1	PLK	"Polo like kinase 1"	P53350	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000142731	PLK4	"Sak, STK18"	"Polo like kinase 4"	O00444	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198523	PLN	"CMD1P, PLB"	Phospholamban	P26678	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000083444	PLOD1	"LH1, LLH, PLOD"	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	Q02809	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000152952	PLOD2	LH2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	O00469	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000106397	PLOD3	LH3	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	O60568	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000140650	PMM2	"CDG1, CDG1a, CDGS, PMI, PMI1"	"Phosphomannomutase 2"	O15305	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000109099	PMP22	"GAS3, HNPP, Sp110"	"Peripheral myelin protein 22"	Q01453	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000165688	PMPCA	"Alpha-MPP, INPP5E, KIAA0123"	"Peptidase, mitochondrial processing alpha subunit"	Q10713	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000163344	PMVK	"HUMPMKI, PMK, PMKA"	"Phosphomevalonate kinase"	Q15126	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000039650	PNKP	PNK	"Polynucleotide kinase 3'-phosphatase"	Q96T60	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000177666	PNPLA2	"ATGL, desnutrin, FP17548, iPLA2zeta, TTS-2.2"	"Patatin like phospholipase domain containing 2"	Q96AD5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100344	PNPLA3	"adiponutrin, ADPN, C22orf20, dJ796I17.1, FLJ22012, iPLA2epsilon"	"Patatin like phospholipase domain containing 3"	Q9NST1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000006757	PNPLA4	"DXS1283E, GS2, iPLA2eta"	"Patatin like phospholipase domain containing 4"	P41247	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000032444	PNPLA6	"iPLA2delta, NTE, SPG39, sws"	"Patatin like phospholipase domain containing 6"	Q8IY17	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000135241	PNPLA8	"IPLA2-2, IPLA2G, iPLA2gamma"	"Patatin like phospholipase domain containing 8"	Q9NP80	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000108439	PNPO	PDXPO	"Pyridoxamine 5'-phosphate oxidase"	Q9NVS9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
